,X,Time,ICS,ICC,ICE,PAGO,PEXP,BUS12,BUS5,DUR
1,1,1/3/2008,80.45125,98.5025,68.8525,14.06199118,16.65235797,9.621362385,14.43204358,23.68335356
2,2,1/4/2008,79.82935484,96.00032258,69.44064516,16.71204384,16.23455688,12.89214811,11.93717417,20.05445261
3,3,1/5/2008,81.98245614,104.9105263,67.25315789,15.84083955,18.69738439,9.089006302,11.94555114,24.41047407
4,4,1/6/2008,67.83,87.64789474,55.09815789,14.02303829,15.58115366,8.959163354,7.79057683,19.47644207
5,5,1/7/2008,82.24289474,88.64315789,78.12868421,14.02303829,14.02303829,13.24398061,19.08691323,19.86597092
6,6,1/8/2008,71.71258065,96,56.10935484,13.36963508,15.75706991,6.207330571,10.98220024,23.39686138
7,7,1/9/2008,79.5612,95.854,69.0956,14.21001214,14.21001214,12.43376062,14.21001214,22.49918588
8,8,1/10/2008,92.52038462,105.3442308,84.28,13.66347321,19.92589843,11.38622767,18.78727566,26.75763503
9,9,1/11/2008,89.67384615,98.06692308,84.28,18.21796428,20.49520981,10.24760491,19.35658705,19.35658705
10,10,1/12/2008,74.665,89.72954545,64.985,14.80209598,19.51185379,10.09233817,8.746693077,19.51185379
11,11,1/13/2008,100.6806667,125.6253333,84.654,18.74932157,15.78890238,17.76251517,16.77570877,29.60419195
12,12,1/14/2008,66.14285714,86.69904762,52.9352381,11.98264912,14.09723426,7.048617132,9.868063985,21.1458514
13,13,1/15/2008,85.58823529,99.95,76.36,13.93138445,17.41423056,16.54351903,11.31924986,24.37992279
14,14,1/17/2008,51.34111111,77.68777778,34.41333333,13.15741865,9.868063985,3.289354662,6.578709323,16.44677331
15,15,1/18/2008,93.28,96.61166667,91.13666667,9.868063985,17.26911197,19.73612797,17.26911197,27.13717596
16,16,1/19/2008,70.45875,68.2275,71.89125,12.95183398,20.35288197,11.10157198,11.10157198,12.95183398
17,17,1/20/2008,68.609,81.473,60.344,10.36146718,14.80209598,7.401047988,13.32188638,20.72293437
18,18,1/21/2008,87.852,92.827,84.654,20.72293437,20.72293437,13.32188638,16.28230557,14.80209598
19,19,1/22/2008,64.38071429,66.87571429,62.775,8.458340558,14.80209598,8.458340558,13.74480341,16.91668112
20,20,1/23/2008,81.931,104.18,67.637,22.20314397,19.24272477,10.36146718,10.36146718,17.76251517
21,21,1/24/2008,85.87833333,96.61166667,78.98166667,12.33507998,24.67015996,14.80209598,7.401047988,24.67015996
22,22,1/25/2008,79.71,68.2275,87.085,11.10157198,22.20314397,3.700523994,25.90366796,14.80209598
23,23,1/26/2008,97.15642857,91.205,100.9764286,14.80209598,20.08855883,15.85938855,24.3177291,20.08855883
24,24,1/27/2008,55.65875,87.15,35.42625,12.95183398,7.401047988,3.700523994,9.251309985,20.35288197
25,25,1/28/2008,66.14066667,85.258,53.86133333,15.78890238,17.76251517,5.920838391,7.894451188,16.77570877
26,26,1/29/2008,72.31,77.68875,68.8525,14.80209598,22.20314397,7.401047988,11.10157198,14.80209598
27,27,1/16/2008,70.09,85.256,60.344,13.32188638,13.32188638,8.881257586,13.32188638,19.24272477
28,28,1/31/2008,82.48625,91.879375,76.449375,15.72722698,16.65235797,12.02670298,16.65235797,19.42775097
29,29,2/1/2008,68.38484848,74.24909091,64.61666667,10.76516071,16.59628943,6.728225444,14.80209598,17.49338615
30,30,2/2/2008,65.39698113,84.1154717,53.37207547,13.68495666,13.68495666,6.423551084,11.17139319,18.43279876
31,31,2/4/2008,72.42272727,81.12878788,66.82666667,13.45645089,17.94193452,8.073870533,13.45645089,17.49338615
32,32,2/3/2008,74.9137037,86.09814815,67.72703704,14.2538702,18.09145064,9.868063985,12.06096709,18.63967642
33,33,2/5/2008,73.235,97.79375,57.4571875,17.57748897,12.95183398,7.401047988,13.41439948,19.89031647
34,34,2/6/2008,70.52814815,90.30333333,57.82296296,14.2538702,16.99499908,7.675160877,9.319838208,20.28435375
35,35,2/7/2008,64.59142857,78.76971429,55.482,13.11042787,15.64793003,5.497921363,11.41875975,16.91668112
36,36,2/8/2008,54.63,69.27888889,45.21777778,9.868063985,14.80209598,3.289354662,8.223386654,16.44677331
37,37,2/9/2008,67.43947368,87.64789474,54.45842105,16.36021134,13.24398061,5.453403781,13.24398061,17.13926903
38,38,2/10/2008,76.00916667,102.9183333,58.72333333,19.73612797,13.56858798,9.868063985,11.10157198,19.73612797
39,39,2/11/2008,63.428,70.1205,59.1285,10.36146718,14.80209598,8.881257586,11.10157198,16.28230557
40,40,2/12/2008,73.789,100.3945,56.6975,15.54220078,17.02241037,5.180733592,11.10157198,22.94324876
41,41,2/13/2008,70.0885,83.3645,61.5595,17.02241037,15.54220078,6.66094319,14.06199118,14.80209598
42,42,2/14/2008,76.01,82.42,71.89125,11.10157198,22.20314397,3.700523994,16.65235797,20.35288197
43,43,2/15/2008,80.24,77.68857143,81.87571429,12.68751084,23.26043653,10.5729257,14.80209598,16.91668112
44,44,2/16/2008,61.2075,63.49625,59.73625,14.80209598,9.251309985,11.10157198,14.80209598,9.251309985
45,45,2/17/2008,72.30833333,87.15,62.775,12.33507998,18.50261997,7.401047988,11.10157198,20.96963597
46,46,2/18/2008,79.3,86.1,74.93,13.15741865,19.73612797,11.51274132,13.15741865,19.73612797
47,47,2/19/2008,85.42909091,101.7718182,74.93,16.14774107,20.18467633,13.45645089,10.76516071,22.87596651
48,48,2/20/2008,72.30875,84.785,64.294375,13.87696498,17.57748897,8.326178987,12.02670298,18.50261997
49,49,2/21/2008,77.06642857,80.39214286,74.93,14.80209598,17.97397369,11.63021827,14.80209598,15.85938855
50,50,2/22/2008,71.07666667,86.09777778,61.42444444,13.15741865,21.3808053,3.289354662,11.51274132,19.73612797
51,51,2/23/2008,71.89722222,81.89333333,65.47611111,10.69040265,16.44677331,12.33507998,9.868063985,20.55846663
52,52,2/24/2008,67.129,47.413,79.792,8.881257586,20.72293437,7.401047988,19.24272477,8.881257586
53,53,2/25/2008,70.8285,75.797,67.637,11.10157198,16.28230557,10.36146718,13.32188638,17.76251517
54,54,2/27/2008,72.71944444,94.50777778,58.72333333,14.80209598,15.62443464,4.934031992,13.97975731,21.3808053
55,55,2/28/2008,64.168,82.419,52.44325,12.21172918,13.69193878,4.070576394,12.95183398,19.24272477
56,56,2/29/2008,61.88068182,72.5275,55.04,10.09233817,15.81132979,7.401047988,9.083104349,17.49338615
57,57,3/1/2008,63.81941176,86.59323529,49.19,11.31924986,13.93138445,5.659624932,9.142471044,21.7677882
58,58,3/2/2008,58.4662963,76.28740741,47.01851852,14.80209598,12.06096709,5.482257769,9.868063985,14.2538702
59,59,3/3/2008,72.83761905,84.89690476,65.0902381,14.09723426,16.91668112,7.401047988,14.09723426,18.32640454
60,60,3/4/2008,69.46906977,78.56813953,63.62302326,13.08092203,17.90020909,5.507756643,14.1136264,16.86750472
61,61,3/5/2008,81.11413793,97.26344828,70.73862069,15.82293018,16.84376439,9.187507848,15.82293018,21.43751831
62,62,3/6/2008,73.19047619,97.51238095,57.56571429,19.03126626,15.50695769,8.458340558,9.868063985,18.32640454
63,63,3/7/2008,84.08363636,101.7709091,72.72,18.83903124,18.83903124,9.419515622,14.80209598,20.18467633
64,64,3/8/2008,71.38375,82.419375,64.294375,15.72722698,15.72722698,7.401047988,14.80209598,15.72722698
65,65,3/9/2008,74.45210526,85.65631579,67.25315789,15.58115366,16.36021134,9.348692196,14.02303829,17.13926903
66,66,3/10/2008,64.62538462,74.77769231,58.1,10.24760491,17.07934151,5.693113837,11.38622767,18.21796428
67,67,3/11/2008,53.80625,77.68875,38.465,10.17644098,11.10157198,2.775392996,8.326178987,19.42775097
68,68,3/12/2008,73.05,100.396,55.482,14.80209598,14.80209598,5.920838391,11.84167678,23.68335356
69,69,3/13/2008,59.09285714,88.50285714,40.20142857,12.68751084,14.80209598,2.11458514,6.343755419,21.1458514
70,70,3/14/2008,61.20714286,72.28142857,54.09285714,14.80209598,14.80209598,4.229170279,12.68751084,12.68751084
71,71,3/15/2008,66.58909091,84.57,55.04,13.45645089,18.83903124,1.345645089,12.1108058,18.83903124
72,72,3/16/2008,61.20769231,86.42230769,45.01,14.80209598,15.94071874,5.693113837,4.55449107,18.21796428
73,73,3/17/2008,69.66714286,80.39142857,62.775,14.80209598,19.03126626,5.286462849,12.68751084,15.85938855
74,74,3/18/2008,68.60875,72.9575,65.81375,5.550785991,20.35288197,11.10157198,7.401047988,22.20314397
75,75,3/19/2008,80.451,96.611,70.068,14.80209598,20.72293437,10.36146718,10.36146718,22.20314397
76,76,3/20/2008,72.31,110.80375,47.58125,16.65235797,11.10157198,3.700523994,12.95183398,25.90366796
77,77,3/21/2008,76.01083333,93.45833333,64.80083333,19.73612797,13.56858798,9.868063985,14.80209598,16.03560397
78,78,3/22/2008,64.69117647,86.59235294,50.62,14.80209598,13.93138445,6.965692224,8.70711528,18.28494209
79,79,3/24/2008,63.32142857,61.46928571,64.51142857,8.458340558,17.97397369,9.515633128,10.5729257,14.80209598
80,80,3/25/2008,114.498,138.24,99.24,23.68335356,23.68335356,14.80209598,20.72293437,29.60419195
81,81,3/26/2008,51.34111111,52.45888889,50.62,11.51274132,13.15741865,6.578709323,9.868063985,8.223386654
82,82,3/27/2008,65.014,78.77028571,56.17657143,11.41875975,13.53334489,8.03542353,11.41875975,18.60834923
83,83,3/28/2008,64.40918919,81.78027027,53.24810811,10.8015295,15.60220927,4.800679776,10.8015295,20.40288905
84,84,3/29/2008,59.97458333,80.05375,47.07479167,13.26021098,12.95183398,6.784293989,7.709424988,17.26911197
85,85,3/30/2008,75.05516129,89.89677419,65.51967742,15.27958294,17.66701778,7.162304505,13.84712204,19.09947868
86,86,3/31/2008,71.50521739,79.33478261,66.47434783,11.58424903,19.30708171,7.722832684,12.22781842,18.66351232
87,87,4/1/2008,53.04137931,65.9437931,44.75206897,8.166673642,11.73959336,4.083336821,10.20834205,16.84376439
88,88,4/2/2008,61.20741935,63.03935484,60.03032258,10.50471327,15.27958294,5.729843604,14.32460901,13.36963508
